id	filename	md5	size	state
146b341d-06f3-41b4-90c5-aece9556c240	146b341d-06f3-41b4-90c5-aece9556c240/7436f4d4-eeca-4c93-967a-868dcabe77ab.wxs.aliquot_ensemble_masked.maf.gz	d86d2186fd3bcebf4145d050bc070c5c	36846	validated
147d062c-734c-4c7e-aa89-44881e425946	147d062c-734c-4c7e-aa89-44881e425946/ed7db004-fa9a-4f64-8c94-8538d692eef3.wxs.aliquot_ensemble_masked.maf.gz	05eabc0fd752095c5262567d51feeabc	26049	validated
14824f7a-b8c6-4f81-9bd9-8068e4e1314d	14824f7a-b8c6-4f81-9bd9-8068e4e1314d/5e54a8a3-56ea-4dcf-aa4b-049a7cfd3fba.wxs.aliquot_ensemble_masked.maf.gz	2228b0571f7a0a87d0df22ba64fc940b	20607	validated
14df70c2-824d-4767-8494-6675039f582c	14df70c2-824d-4767-8494-6675039f582c/bb038157-4c50-47ec-b88a-856a94a76f44.wxs.aliquot_ensemble_masked.maf.gz	0008e37d556de192994e589642c8d7fc	20350	validated
14df9543-c061-4b33-aa2e-280cce4fe511	14df9543-c061-4b33-aa2e-280cce4fe511/9a67eddc-6bf5-44c7-b38a-b9a34acb0ee4.wxs.aliquot_ensemble_masked.maf.gz	b71552d42027993b56918148121c1a35	28314	validated
1560add0-ce57-46e5-b923-6622904f5b39	1560add0-ce57-46e5-b923-6622904f5b39/e87372f0-84a2-4f98-93ef-3ed71fdd26e8.wxs.aliquot_ensemble_masked.maf.gz	0bdd625daba015592cb365ee7df48d06	16365	validated
16a12858-dcc6-4b9d-86c8-08118dc6171d	16a12858-dcc6-4b9d-86c8-08118dc6171d/c20579df-b808-4a24-8f27-5738bb970b90.wxs.aliquot_ensemble_masked.maf.gz	b3ff3fc998959c3dd53435e0e3971c29	26300	validated
178c6e9c-d5d9-42fb-b91a-ac6f83acafaa	178c6e9c-d5d9-42fb-b91a-ac6f83acafaa/f38fd65b-4d7b-4ecc-9957-459470d33a79.wxs.aliquot_ensemble_masked.maf.gz	19e8e6531f8e1e3a6127e122329d4d88	21090	validated
17a8ed39-c0a6-4d80-a860-e129421a0f07	17a8ed39-c0a6-4d80-a860-e129421a0f07/c0b87a33-e1ae-417b-bc3e-e682ac8af9f3.wxs.aliquot_ensemble_masked.maf.gz	6baaa2133dac3588d25193387175813c	21393	validated
1854ea18-b3b5-4142-8161-e89c1e1f0e7d	1854ea18-b3b5-4142-8161-e89c1e1f0e7d/8eef2f13-dfca-40eb-818d-7e9d9b90194e.wxs.aliquot_ensemble_masked.maf.gz	44a7cdce83b1e19c5906d00371dee6e1	1832	validated
